,precision,recall,f1-score,support
Acral_Lentiginous_Melanoma,0.5810055865921788,0.7074829931972789,0.6380368098159509,147.0
Healthy_Nail,1.0,0.9375,0.967741935483871,64.0
Onychogryphosis,0.7426470588235294,0.7481481481481481,0.7453874538745388,135.0
blue_finger,0.7526881720430108,0.5833333333333334,0.6572769953051644,120.0
clubbing,0.8053691275167785,0.7843137254901961,0.7947019867549668,153.0
pitting,0.7596899224806202,0.7716535433070866,0.765625,127.0
accuracy,0.7412868632707775,0.7412868632707775,0.7412868632707775,0.7412868632707775
macro avg,0.7735666445760195,0.7554052905793404,0.7614616968724154,746.0
weighted avg,0.7502544926011983,0.7412868632707775,0.7426960048218565,746.0
